wage,educ,race,sex,hispanic,south,married,exper,union,age,sector
9,10,W,M,NH,NS,Married,27,Not,43,const
5.5,12,W,M,NH,NS,Married,20,Not,38,sales
3.8,12,W,F,NH,NS,Single,4,Not,22,sales
10.5,12,W,F,NH,NS,Married,29,Not,47,clerical
15,12,W,M,NH,NS,Married,40,Union,58,const
9,16,W,F,NH,NS,Married,27,Not,49,clerical
9.57,12,W,F,NH,NS,Married,5,Union,23,service
15,14,W,M,NH,NS,Single,22,Not,42,sales
11,8,W,M,NH,NS,Married,42,Not,56,manuf
5,12,W,F,NH,NS,Married,14,Not,32,sales
24.98,17,W,M,Hisp,NS,Married,18,Not,41,prof
20.4,17,W,M,NH,NS,Single,3,Not,26,prof
25,14,W,M,Hisp,NS,Single,4,Union,24,service
13.98,14,W,M,NH,NS,Single,14,Not,34,other
3.5,12,W,M,NH,NS,Married,35,Not,53,clerical
5,14,W,M,Hisp,NS,Single,0,Not,20,sales
10,16,W,M,Hisp,NS,Married,7,Union,29,manag
15,16,NW,M,NH,NS,Married,26,Union,48,manag
5.83,13,NW,M,NH,NS,Single,3,Not,22,service
9.1,13,W,M,Hisp,NS,Single,16,Not,35,clerical
11.25,17,NW,F,NH,NS,Married,32,Not,55,clerical
13,12,NW,M,NH,NS,Married,25,Union,43,service
8,14,W,F,NH,NS,Single,15,Union,35,clerical
4.28,12,W,F,NH,NS,Married,38,Not,56,service
7.88,16,NW,M,NH,NS,Married,17,Not,39,clerical
6.94,12,W,F,NH,NS,Single,7,Not,25,service
24.98,17,W,F,NH,NS,Single,5,Not,28,prof
10,14,W,M,NH,NS,Married,22,Not,42,prof
13.75,14,W,M,NH,NS,Married,21,Not,41,sales
5.62,13,W,F,Hisp,NS,Married,2,Not,21,clerical
14.67,14,NW,M,NH,NS,Married,16,Not,36,service
24.98,16,W,M,NH,NS,Married,18,Not,40,manag
12,12,W,M,NH,NS,Married,14,Not,32,manuf
15,18,W,M,NH,NS,Married,12,Not,36,prof
5.77,16,W,M,NH,NS,Single,3,Not,25,service
12.65,17,W,F,NH,NS,Married,13,Not,36,manag
11.71,16,W,F,NH,NS,Single,42,Not,64,clerical
13,12,W,M,NH,NS,Married,8,Not,26,other
12.5,15,W,F,NH,NS,Married,6,Not,27,clerical
22.5,16,W,M,NH,NS,Married,22,Not,44,manag
11.25,16,NW,F,NH,NS,Single,3,Not,25,manag
15.38,16,W,M,NH,NS,Married,33,Not,55,prof
7.7,13,W,F,NH,NS,Single,8,Union,27,clerical
11.84,12,W,M,NH,NS,Married,26,Not,44,manag
5,14,W,M,NH,NS,Married,0,Not,20,prof
6.5,12,W,M,NH,NS,Married,28,Not,46,other
9,8,W,M,NH,NS,Married,33,Union,47,other
3.35,12,W,M,NH,NS,Single,0,Not,18,other
4.5,12,W,F,NH,NS,Married,7,Not,25,manuf
10.53,14,W,F,NH,NS,Married,12,Not,32,clerical
3.5,9,W,M,NH,NS,Married,47,Union,62,service
15,16,W,M,NH,NS,Married,12,Not,34,manuf
8.5,12,W,F,NH,NS,Single,25,Not,43,clerical
9.17,12,W,F,NH,NS,Married,44,Not,62,clerical
9.6,9,W,M,NH,NS,Single,33,Union,48,clerical
6.88,8,W,F,Hisp,NS,Married,22,Not,36,other
13.95,18,W,F,NH,NS,Married,14,Not,38,manag
10,14,NW,M,NH,NS,Single,22,Not,42,manag
3.75,12,W,F,NH,NS,Single,41,Not,59,service
8,12,W,F,NH,NS,Single,8,Not,26,clerical
11.67,12,W,F,NH,NS,Married,43,Not,61,clerical
8.89,8,NW,F,NH,NS,Single,29,Not,43,service
4,12,NW,M,NH,NS,Single,6,Union,24,manuf
5.5,12,NW,F,NH,NS,Single,21,Not,39,clerical
3.35,16,NW,M,NH,NS,Single,3,Not,25,clerical
10.81,12,W,F,NH,NS,Married,40,Not,58,clerical
7,12,W,M,NH,NS,Married,5,Not,23,sales
10,13,W,M,NH,NS,Married,34,Union,53,prof
5.4,16,W,F,NH,NS,Married,10,Not,32,prof
7.5,12,W,F,NH,NS,Single,10,Not,28,service
11.25,12,W,M,NH,NS,Married,41,Union,59,other
10,10,W,F,NH,NS,Married,25,Union,41,service
4,13,W,M,NH,NS,Single,0,Not,19,other
13.51,18,W,M,NH,NS,Married,14,Union,38,prof
6.75,12,W,M,NH,NS,Single,22,Not,40,clerical
14.29,14,W,F,NH,NS,Married,32,Not,52,sales
9.75,15,W,F,NH,NS,Married,9,Not,30,manuf
3.35,12,W,F,NH,NS,Single,0,Not,18,service
3.4,8,W,F,NH,NS,Single,49,Not,63,service
5.62,14,W,F,NH,NS,Married,32,Not,52,clerical
7,12,W,M,NH,NS,Married,7,Union,25,other
10,16,W,F,NH,NS,Married,10,Not,32,prof
6.1,10,W,F,NH,NS,Single,44,Union,60,manuf
4.17,12,W,F,NH,NS,Married,27,Not,45,service
4.8,12,W,F,NH,NS,Married,16,Not,34,manuf
5.75,12,W,M,NH,NS,Married,3,Not,21,prof
4.75,12,W,M,NH,NS,Married,8,Not,26,other
9.37,17,W,M,NH,NS,Married,7,Union,30,prof
5.25,12,W,F,NH,NS,Single,8,Not,26,clerical
4.95,9,W,F,NH,NS,Married,42,Not,57,manuf
19.38,16,W,F,NH,NS,Married,11,Not,33,prof
19.98,12,W,M,NH,NS,Married,23,Not,41,manuf
4,12,W,M,NH,NS,Single,4,Not,22,other
5,12,W,F,NH,NS,Single,0,Not,18,clerical
10.58,14,W,M,NH,NS,Married,25,Not,45,manuf
10,12,NW,M,NH,NS,Single,22,Union,40,manuf
7.38,14,W,F,Hisp,NS,Single,15,Not,35,prof
12.5,15,W,M,NH,NS,Single,10,Not,31,prof
4,16,W,F,NH,NS,Single,20,Not,42,service
15.03,12,W,F,NH,NS,Married,24,Not,42,clerical
16,12,W,M,NH,S,Married,12,Not,30,prof
3.56,12,W,F,Hisp,S,Single,12,Not,30,clerical
4.5,12,W,M,Hisp,S,Single,16,Not,34,other
4.55,12,W,F,Hisp,S,Single,4,Not,22,manag
3.6,12,W,F,Hisp,S,Married,43,Not,61,service
8,12,W,F,NH,S,Married,14,Not,32,clerical
4.75,12,W,F,NH,S,Single,10,Not,28,sales
6.73,12,W,M,NH,S,Married,2,Not,20,manuf
11.11,12,W,M,NH,S,Married,28,Not,46,sales
6,7,W,F,NH,S,Married,15,Not,28,manuf
10,12,W,M,NH,S,Married,20,Not,38,sales
11.25,12,W,F,Hisp,S,Married,30,Not,48,manag
3.95,12,W,F,NH,S,Married,9,Not,27,service
17.5,16,NW,M,NH,S,Married,13,Not,35,prof
3.55,13,W,F,NH,S,Single,1,Not,20,clerical
6,16,W,M,NH,S,Single,8,Not,30,manag
22,14,W,M,NH,S,Married,15,Not,35,prof
6.25,12,W,F,NH,S,Single,6,Not,24,other
4.5,7,W,M,Hisp,S,Married,14,Not,27,service
10.32,13,W,F,NH,S,Single,28,Not,47,clerical
12.2,14,W,M,NH,S,Married,10,Not,30,manuf
18.16,17,W,M,NH,S,Single,14,Not,37,manag
15,16,W,M,NH,S,Married,10,Not,32,manag
8.75,13,W,F,NH,S,Married,10,Not,29,clerical
19.98,14,W,M,NH,S,Married,44,Not,64,sales
6.67,16,W,F,NH,NS,Single,10,Union,32,prof
9.63,14,W,M,NH,NS,Married,22,Union,42,service
5.5,11,W,M,NH,NS,Married,18,Union,35,other
8,12,W,F,NH,NS,Single,9,Not,27,clerical
20,18,W,F,NH,NS,Married,19,Not,43,manag
9.5,17,W,F,NH,NS,Married,14,Not,37,prof
11.79,16,W,F,NH,NS,Single,6,Union,28,prof
13.89,16,W,F,NH,NS,Single,17,Not,39,prof
5.5,11,W,F,NH,NS,Married,24,Not,41,clerical
7,11,W,F,NH,NS,Single,12,Not,29,clerical
9.65,12,W,F,NH,NS,Married,38,Not,56,clerical
10.61,15,W,F,NH,NS,Single,33,Not,54,prof
3.75,2,W,M,Hisp,NS,Single,16,Not,24,service
12,14,W,F,NH,NS,Married,10,Not,30,prof
8.56,14,W,F,NH,NS,Married,14,Not,34,prof
16.14,14,W,M,NH,NS,Single,16,Not,36,manag
3.75,11,W,M,NH,NS,Single,11,Not,28,const
9,16,NW,F,NH,NS,Married,6,Not,28,service
13.12,12,NW,F,NH,NS,Married,33,Not,51,service
13.2,16,W,M,NH,NS,Single,10,Not,32,manag
9.25,12,W,M,NH,NS,Single,19,Not,37,manuf
5,12,W,M,Hisp,NS,Single,4,Not,22,prof
6,17,W,F,NH,NS,Single,3,Union,26,prof
7,12,W,F,NH,NS,Married,32,Not,50,manag
4.7,8,W,M,NH,NS,Married,19,Not,33,other
7.5,16,W,F,NH,NS,Married,22,Not,44,prof
7,18,W,M,NH,NS,Married,33,Not,57,prof
11.22,18,W,M,NH,NS,Married,19,Not,43,prof
5.71,18,W,M,NH,NS,Married,3,Not,27,prof
5.5,12,W,M,NH,NS,Married,12,Not,30,other
9,12,W,M,NH,NS,Married,16,Not,34,sales
4.13,12,W,F,NH,NS,Married,4,Not,22,clerical
10,12,W,M,NH,NS,Married,11,Union,29,other
7.5,12,W,M,NH,NS,Married,17,Not,35,other
3.65,11,W,M,NH,NS,Single,16,Not,33,other
8.89,12,W,M,NH,NS,Married,18,Not,36,manuf
18,18,W,M,NH,NS,Married,15,Not,39,prof
3.35,14,NW,M,NH,NS,Single,0,Not,20,service
13.45,16,NW,M,NH,NS,Single,8,Not,30,manag
22.5,16,W,M,NH,NS,Married,17,Not,39,prof
19,18,W,M,NH,NS,Single,13,Not,37,manag
8.93,12,W,F,NH,NS,Married,18,Not,36,other
7,11,NW,F,NH,NS,Married,16,Not,33,clerical
4.17,14,W,F,NH,NS,Single,24,Not,44,service
9.83,12,W,M,NH,NS,Married,23,Not,41,manuf
6.67,12,W,M,NH,NS,Single,1,Not,19,manuf
7,12,W,F,NH,NS,Married,10,Union,28,clerical
3.64,12,W,F,NH,NS,Married,42,Not,60,manag
22.83,18,W,F,NH,NS,Single,37,Not,61,prof
5,12,W,F,NH,NS,Married,14,Not,32,service
22.5,18,W,M,NH,NS,Married,14,Not,38,manag
12,12,W,F,NH,NS,Married,11,Not,29,prof
6.28,12,W,F,NH,NS,Married,38,Not,56,manuf
4.5,12,W,F,NH,NS,Single,3,Not,21,manuf
6,12,W,M,NH,NS,Married,9,Not,27,other
6.75,10,W,M,NH,NS,Married,13,Not,29,manuf
8.75,12,W,M,NH,NS,Single,9,Not,27,other
13.28,16,W,M,NH,NS,Married,11,Not,33,manuf
6.25,13,W,F,NH,NS,Married,30,Not,49,clerical
8.99,12,W,F,NH,NS,Single,15,Union,33,service
7.5,14,W,M,NH,NS,Single,2,Not,22,sales
12,17,W,F,NH,NS,Married,24,Not,47,prof
14,18,W,F,NH,NS,Single,31,Union,55,prof
16.42,14,W,M,NH,NS,Single,19,Not,39,prof
6.25,14,W,M,NH,NS,Single,2,Not,22,manag
10.5,12,W,M,NH,NS,Married,4,Union,22,other
9.5,9,W,F,NH,NS,Married,46,Union,61,service
3,6,W,F,Hisp,NS,Married,43,Union,55,manuf
9.22,14,W,F,NH,NS,Married,13,Not,33,manag
4,12,W,F,NH,NS,Single,15,Not,33,sales
3.8,12,W,F,NH,NS,Single,16,Not,34,service
6,12,W,F,NH,NS,Married,19,Not,37,clerical
5,12,W,F,NH,NS,Married,28,Not,46,manuf
15,12,W,M,NH,NS,Married,42,Not,60,manag
5.55,11,W,F,NH,NS,Single,45,Union,62,service
9,16,NW,M,NH,NS,Married,7,Not,29,manag
24.98,17,W,M,NH,NS,Married,31,Not,54,prof
8.49,12,W,F,NH,NS,Married,24,Not,42,service
5,14,W,F,Hisp,NS,Married,17,Not,37,clerical
22.2,12,W,M,NH,NS,Married,26,Union,44,manuf
9.24,16,NW,M,NH,NS,Married,5,Union,27,prof
8,16,W,F,Hisp,NS,Married,17,Not,39,prof
3.5,10,W,F,NH,S,Single,33,Not,49,service
3.35,13,W,F,NH,S,Married,2,Not,21,sales
3.35,16,NW,F,NH,S,Married,14,Not,36,sales
20,16,W,F,NH,S,Married,28,Union,50,prof
4,12,W,F,NH,S,Single,46,Not,64,other
18,16,W,M,NH,S,Married,38,Not,60,prof
4.5,13,W,F,NH,S,Single,0,Not,19,clerical
7.81,12,W,F,NH,S,Single,1,Not,19,manag
1.75,12,W,F,NH,S,Married,5,Not,23,service
5.2,18,W,F,Hisp,S,Married,13,Not,37,clerical
8.75,10,W,M,NH,S,Single,19,Not,35,service
5,12,W,M,NH,S,Married,5,Not,23,other
3.75,12,NW,F,NH,S,Married,6,Not,24,manuf
5.95,13,W,M,NH,S,Married,9,Not,28,service
4,12,W,M,Hisp,S,Single,7,Not,25,service
7,3,W,M,Hisp,S,Married,55,Not,64,manuf
5,17,W,F,NH,S,Single,1,Not,24,other
4.62,6,NW,F,NH,S,Single,33,Not,45,manuf
5.75,12,W,F,NH,S,Married,21,Not,39,prof
24.98,18,W,M,NH,NS,Married,29,Not,53,manag
15.79,18,W,M,NH,NS,Married,7,Not,31,prof
15.56,16,W,M,NH,NS,Single,10,Not,32,prof
3.35,16,W,M,NH,NS,Single,9,Not,31,manag
18.16,18,W,M,NH,NS,Married,7,Not,31,prof
8,18,W,M,NH,NS,Single,33,Union,57,prof
6,13,W,M,NH,NS,Single,31,Not,50,clerical
17.25,18,W,M,NH,NS,Married,5,Not,29,prof
5.5,16,W,F,NH,NS,Single,2,Not,24,clerical
7.65,12,W,M,NH,NS,Single,20,Not,38,service
6.25,16,NW,M,NH,NS,Single,4,Not,26,clerical
6.4,12,W,F,NH,NS,Married,45,Not,63,sales
6.58,12,W,F,NH,NS,Married,24,Not,42,manag
12.5,12,W,M,NH,NS,Married,43,Not,61,sales
13.33,18,W,M,NH,NS,Married,10,Not,34,sales
5.5,12,W,M,NH,NS,Single,3,Not,21,manuf
11.25,15,W,M,NH,NS,Single,5,Not,26,prof
10.62,12,W,F,NH,NS,Single,45,Not,63,clerical
8,12,NW,F,NH,NS,Married,43,Union,61,service
10.2,17,W,F,NH,NS,Married,26,Union,49,prof
5.79,12,W,F,NH,NS,Married,42,Not,60,prof
7.3,12,W,M,NH,NS,Married,37,Not,55,const
44.5,14,W,F,NH,NS,Single,1,Not,21,manag
10.5,13,W,F,NH,NS,Married,14,Not,33,manag
9.36,12,W,M,NH,NS,Married,8,Not,26,manuf
5.2,12,W,F,NH,NS,Married,24,Not,42,clerical
4.25,12,W,F,NH,NS,Married,20,Not,38,clerical
15.95,17,W,F,NH,NS,Single,13,Union,36,prof
22.5,15,W,M,NH,NS,Married,12,Not,33,manag
5,16,W,F,NH,S,Married,4,Not,26,clerical
5.3,12,NW,M,NH,S,Married,14,Not,32,manag
6.25,18,W,M,NH,S,Married,14,Not,38,prof
10,18,W,F,NH,S,Single,13,Not,37,manag
5.5,12,W,M,NH,S,Married,20,Not,38,service
6.8,9,W,F,NH,S,Married,30,Not,45,manuf
3,12,W,F,NH,S,Married,28,Not,46,clerical
10,16,W,M,NH,S,Married,14,Union,36,prof
4.85,10,W,M,NH,S,Single,13,Not,29,other
9.42,12,W,M,NH,S,Married,32,Not,50,sales
6,15,W,F,NH,S,Single,26,Not,47,service
