wage,educ,race,sex,hispanic,south,married,exper,union,age,sector
4.25,13,W,F,NH,S,Single,0,Not,19,clerical
11.02,14,W,M,NH,S,Married,12,Union,32,clerical
12.16,12,NW,F,NH,S,Married,32,Not,50,clerical
8.43,12,W,M,NH,S,Married,12,Not,30,clerical
11.43,12,W,M,NH,S,Single,3,Not,21,const
19.98,9,W,M,NH,S,Married,29,Not,44,other
6.88,14,W,F,NH,S,Single,10,Not,30,service
5.71,12,W,F,NH,NS,Married,16,Union,34,manuf
3.35,12,W,F,NH,NS,Married,8,Not,26,manuf
4.85,9,W,F,NH,NS,Married,16,Not,31,manuf
5.75,12,W,F,NH,NS,Married,15,Not,33,clerical
5.4,12,W,F,NH,NS,Married,18,Not,36,clerical
13.16,12,W,F,NH,NS,Married,38,Not,56,manag
11.32,12,W,F,NH,NS,Married,13,Not,31,clerical
8.75,13,W,M,NH,NS,Married,18,Not,37,other
12.22,12,W,M,NH,NS,Married,19,Union,37,const
5.25,10,W,M,NH,NS,Married,15,Not,31,other
5.56,14,W,M,NH,S,Single,5,Not,25,sales
4.59,12,W,F,NH,S,Married,36,Not,54,clerical
7.5,12,W,M,NH,S,Married,38,Not,56,other
12,12,W,M,NH,S,Single,5,Not,23,clerical
16,12,W,M,NH,S,Married,35,Union,53,manuf
3.35,11,NW,M,NH,S,Single,3,Not,20,manuf
4.45,10,W,M,NH,S,Single,27,Not,43,other
4.25,12,W,F,NH,S,Married,29,Not,47,sales
13.1,10,NW,F,NH,S,Married,38,Not,54,service
7,10,W,M,NH,S,Married,9,Not,25,const
5.75,6,W,M,NH,S,Married,45,Not,57,manuf
6.5,8,W,M,NH,S,Married,27,Not,41,other
7.61,12,NW,M,NH,S,Married,20,Not,38,const
20.5,16,W,M,NH,S,Married,14,Union,36,prof
6.25,12,W,M,NH,S,Single,1,Not,19,other
3.84,11,NW,F,NH,S,Married,25,Not,42,sales
16.65,14,W,M,NH,S,Married,21,Not,41,manag
11.25,17,W,F,NH,NS,Single,10,Not,33,prof
5.65,14,W,M,NH,NS,Single,2,Not,22,manuf
6.5,11,W,M,NH,NS,Single,17,Not,34,other
7.75,12,W,F,NH,NS,Married,24,Not,42,clerical
6.93,12,W,M,NH,NS,Married,26,Union,44,service
15,12,W,M,NH,NS,Married,39,Union,57,prof
7,7,NW,M,NH,NS,Married,42,Union,55,manuf
3.35,7,W,M,NH,S,Married,43,Not,56,manuf
6.5,12,W,M,NH,S,Single,5,Not,23,manuf
6.25,16,W,F,Hisp,S,Married,7,Not,29,prof
5,13,W,F,NH,S,Married,6,Not,25,clerical
3.45,13,NW,F,NH,S,Single,1,Not,20,service
8.8,14,W,M,NH,S,Married,41,Not,61,manag
10,16,W,F,NH,S,Married,4,Not,26,prof
4,11,W,F,NH,S,Married,25,Union,42,manuf
9.5,12,W,F,NH,S,Married,39,Not,57,clerical
10.43,14,W,F,NH,S,Married,15,Not,35,clerical
5.21,18,W,M,NH,S,Married,10,Not,34,clerical
7.5,12,W,F,NH,S,Single,20,Not,38,clerical
7,17,W,M,NH,S,Married,2,Not,25,prof
10.78,11,NW,M,NH,S,Married,28,Union,45,const
8.9,10,W,M,NH,S,Married,27,Union,43,const
3.75,16,W,F,NH,S,Single,13,Not,35,other
3.75,15,W,M,NH,S,Single,4,Not,25,sales
9.45,12,W,M,NH,NS,Single,13,Not,31,manuf
15,12,W,M,NH,NS,Married,33,Union,51,const
3.6,12,W,F,NH,NS,Single,6,Not,24,service
12,18,W,M,NH,NS,Married,23,Union,47,prof
10.62,16,W,F,NH,NS,Married,6,Not,28,manag
14,16,W,F,NH,NS,Married,16,Not,38,prof
5,16,W,M,NH,NS,Single,3,Union,25,other
11.5,12,W,M,NH,NS,Single,19,Union,37,manuf
13.71,12,W,M,NH,NS,Married,43,Union,61,sales
10.62,12,W,M,NH,S,Married,34,Not,52,manag
7.45,12,W,F,NH,S,Single,25,Not,43,prof
6.75,10,NW,M,NH,S,Married,41,Union,57,manuf
5.87,17,NW,F,NH,S,Single,6,Not,29,clerical
3.43,12,NW,M,NH,S,Single,2,Not,20,service
4.35,8,NW,F,NH,S,Married,37,Not,51,service
13,12,NW,M,NH,S,Married,19,Union,37,manuf
14,5,W,M,NH,S,Married,44,Not,55,const
3.51,10,NW,F,NH,S,Married,37,Not,53,service
4.3,13,W,M,NH,S,Single,8,Not,27,const
5.85,18,W,M,NH,S,Married,12,Not,36,prof
6,12,W,M,NH,NS,Single,8,Not,26,const
11,16,W,M,NH,NS,Married,13,Union,35,manuf
21.25,13,W,M,NH,NS,Single,32,Not,51,manag
14.53,16,W,M,NH,NS,Married,18,Not,40,manag
6.85,12,NW,M,NH,NS,Single,8,Not,26,clerical
10,16,W,F,NH,NS,Single,0,Not,18,prof
10,16,W,F,NH,NS,Married,7,Not,29,clerical
24.98,16,W,F,NH,S,Single,5,Not,27,prof
3.75,12,W,F,NH,S,Married,17,Not,35,service
6.5,11,W,M,NH,S,Married,39,Not,56,service
5,12,W,M,NH,S,Single,4,Not,22,clerical
4.55,8,W,F,NH,S,Single,45,Not,59,service
6.5,12,W,M,NH,NS,Single,8,Not,26,other
10.58,16,W,M,NH,NS,Single,9,Not,31,prof
9.56,12,W,M,NH,NS,Married,23,Not,41,other
12,16,W,F,NH,NS,Married,14,Not,36,prof
8.5,12,W,F,NH,NS,Single,16,Not,34,prof
4.1,12,W,F,NH,NS,Married,15,Not,33,clerical
4.5,12,W,F,NH,NS,Single,15,Not,33,manuf
11.5,16,W,M,NH,NS,Married,16,Not,38,sales
8.9,14,W,M,NH,NS,Single,13,Not,33,other
14.21,11,W,M,NH,NS,Single,15,Union,32,manuf
13.65,16,W,M,NH,NS,Married,11,Not,33,prof
22.2,18,W,F,NH,NS,Single,40,Not,64,prof
15,18,W,F,NH,NS,Married,11,Not,35,prof
8.06,13,W,M,NH,S,Married,17,Not,36,prof
6.75,12,W,M,NH,S,Married,12,Not,30,other
4.5,11,NW,M,NH,S,Married,14,Not,31,other
7,12,W,F,NH,S,Married,26,Not,44,service
7.5,12,NW,F,NH,S,Married,27,Not,45,sales
7.5,12,W,F,NH,S,Married,16,Not,34,clerical
8.5,12,NW,M,NH,S,Single,2,Not,20,clerical
8,7,W,M,NH,S,Married,44,Not,57,other
3.5,8,W,M,Hisp,S,Married,8,Not,22,manuf
12.5,12,W,M,NH,S,Married,9,Not,27,other
6,12,W,M,Hisp,S,Single,1,Union,19,other
5.25,16,W,F,NH,S,Single,2,Not,24,clerical
5,12,W,M,NH,S,Single,6,Not,24,const
3.5,11,W,F,NH,S,Married,17,Not,34,service
11,14,W,M,NH,S,Married,14,Union,34,manuf
7.5,12,W,M,NH,NS,Single,3,Not,21,other
8.5,12,W,M,NH,NS,Married,13,Not,31,manuf
12.5,12,W,M,NH,NS,Single,11,Not,29,const
10.75,12,W,M,NH,NS,Married,24,Union,42,const
12.5,12,W,F,NH,NS,Married,14,Union,32,clerical
7.8,17,W,M,NH,NS,Married,7,Not,30,prof
12,17,W,M,NH,NS,Married,13,Not,36,sales
3.35,12,NW,F,NH,S,Married,10,Not,28,manuf
19.88,12,W,M,NH,S,Married,13,Union,31,prof
6,13,W,M,NH,S,Married,7,Not,26,manuf
4.22,8,W,F,NH,S,Married,39,Not,53,manuf
3.5,14,W,F,NH,S,Married,6,Not,26,sales
12,12,W,M,NH,S,Married,20,Union,38,manuf
3.35,12,W,F,NH,NS,Married,7,Not,25,clerical
9,12,W,M,NH,NS,Married,20,Union,38,clerical
3.98,14,W,F,NH,NS,Single,6,Not,26,service
5,12,W,F,NH,NS,Married,39,Not,57,clerical
12.67,16,W,M,NH,NS,Married,15,Not,37,prof
17.25,15,W,M,NH,NS,Married,31,Not,52,manag
9.5,12,W,F,NH,NS,Single,25,Not,43,clerical
14,11,W,M,NH,NS,Married,13,Union,30,other
8.5,12,NW,M,NH,NS,Married,8,Union,26,other
4.25,12,W,F,NH,NS,Married,2,Not,20,service
5.8,16,W,M,NH,NS,Married,14,Not,36,manag
11.25,13,W,M,NH,NS,Married,14,Not,33,other
12,18,W,F,NH,NS,Married,18,Union,42,prof
11.25,12,W,F,NH,NS,Married,28,Not,46,prof
7.5,16,W,M,NH,NS,Married,10,Union,32,prof
8.2,14,NW,M,NH,S,Single,17,Not,37,other
4.85,12,W,F,NH,S,Married,14,Not,32,clerical
4.75,12,W,F,NH,S,Married,2,Not,20,clerical
5.5,16,W,M,NH,S,Married,29,Not,51,prof
9.5,11,W,M,NH,S,Married,29,Not,46,const
9.6,12,W,F,NH,S,Married,14,Not,32,clerical
4.55,13,W,F,NH,NS,Married,33,Not,52,sales
15.73,16,W,M,NH,NS,Married,4,Not,26,prof
9.86,15,W,M,NH,NS,Married,13,Not,34,prof
10,14,W,F,NH,NS,Single,24,Not,44,clerical
5.8,13,W,M,NH,NS,Single,5,Not,24,sales
7.53,14,W,M,NH,S,Single,1,Not,21,clerical
9.75,11,W,M,NH,S,Married,37,Union,54,manuf
13,11,W,M,NH,S,Married,18,Union,35,service
10.28,15,W,F,NH,S,Married,10,Not,31,prof
13.45,12,W,M,NH,S,Married,16,Union,34,other
12.57,12,W,M,NH,NS,Married,12,Union,30,other
8.63,14,W,F,NH,NS,Single,4,Not,24,prof
13.26,12,W,M,NH,NS,Married,16,Union,34,other
6.85,14,NW,M,NH,NS,Married,34,Union,54,service
12.47,13,W,M,NH,NS,Married,10,Union,29,other
7.14,14,W,M,NH,NS,Married,17,Not,37,service
12.5,13,W,F,NH,NS,Married,16,Not,35,clerical
10,10,W,M,NH,NS,Married,20,Not,36,manag
10,10,W,M,NH,NS,Married,12,Not,28,const
8.75,12,W,M,NH,NS,Married,30,Not,48,prof
9.37,16,W,F,NH,NS,Married,26,Not,48,manag
11.11,13,W,M,NH,NS,Married,13,Not,32,clerical
5.1,8,W,F,Hisp,NS,Married,21,Not,35,manuf
7.5,11,NW,M,NH,NS,Single,3,Not,20,service
3.4,8,NW,F,NH,NS,Married,29,Not,43,service
4.5,12,W,F,NH,NS,Married,3,Not,21,manag
6.25,18,NW,M,NH,NS,Married,27,Not,51,prof
20.55,12,W,M,NH,NS,Married,33,Not,51,other
8.4,13,W,M,NH,NS,Single,17,Not,36,manuf
8,12,W,F,NH,NS,Married,15,Not,33,service
8.5,9,W,M,NH,NS,Married,38,Not,53,manuf
3.75,12,W,M,NH,NS,Single,9,Not,27,other
9,12,W,M,NH,NS,Married,10,Not,28,service
12.05,16,W,F,NH,NS,Single,6,Not,28,prof
4.5,12,W,F,NH,NS,Married,7,Not,25,manag
4.8,9,NW,M,NH,NS,Single,16,Not,31,manuf
6.5,10,W,M,NH,NS,Married,30,Not,46,other
7.69,12,W,M,NH,NS,Married,19,Not,37,clerical
9.33,12,W,F,NH,NS,Single,15,Not,33,clerical
5,12,NW,M,NH,NS,Married,12,Not,30,other
6.1,12,NW,F,NH,NS,Married,33,Not,51,prof
10.67,12,NW,M,NH,NS,Single,36,Not,54,other
3.5,12,NW,F,NH,NS,Single,25,Not,43,clerical
10,12,NW,M,NH,NS,Married,35,Union,53,const
9,13,NW,M,NH,NS,Single,8,Union,27,manuf
7.5,12,NW,F,NH,S,Married,23,Not,41,clerical
5.71,18,W,M,NH,S,Single,7,Not,31,prof
8.5,17,W,M,NH,S,Single,3,Not,26,clerical
4,12,NW,M,NH,S,Married,8,Not,26,clerical
5.75,9,NW,F,NH,S,Married,34,Union,49,prof
5.25,12,W,M,NH,NS,Single,2,Not,20,other
3.5,12,W,M,NH,NS,Married,34,Not,52,sales
4.5,11,W,M,NH,NS,Single,2,Not,19,service
5.5,12,W,F,NH,NS,Single,11,Not,29,manuf
6.25,13,W,F,NH,NS,Married,4,Not,23,sales
8.89,16,W,F,NH,NS,Married,22,Union,44,prof
5.25,12,W,F,NH,NS,Married,45,Not,63,clerical
10.25,14,W,F,NH,NS,Married,26,Not,46,manag
6.25,14,W,F,NH,NS,Married,12,Not,32,prof
4.35,12,W,F,NH,NS,Married,3,Not,21,prof
17.86,13,W,M,NH,NS,Single,36,Not,55,manag
7.5,12,W,F,NH,NS,Married,9,Union,27,service
6.25,16,W,F,NH,NS,Married,7,Not,29,prof
4.5,14,W,M,NH,NS,Married,14,Not,34,sales
6.4,12,W,F,NH,NS,Single,6,Not,24,clerical
4.84,15,W,M,NH,NS,Married,1,Union,22,manag
4.15,11,W,M,NH,NS,Married,4,Not,21,service
5.13,12,W,F,NH,NS,Married,5,Not,23,sales
5.26,8,W,F,NH,NS,Married,38,Not,52,service
7.78,16,W,F,NH,NS,Married,6,Not,28,prof
13.07,13,W,M,NH,NS,Single,9,Union,28,other
8,13,W,F,NH,NS,Married,15,Not,34,service
7.67,15,W,F,NH,NS,Married,11,Not,32,prof
7.5,12,W,M,NH,NS,Single,17,Not,35,manag
2.85,12,W,M,NH,NS,Single,1,Not,19,other
6.36,12,W,M,NH,NS,Married,9,Not,27,manuf
3.5,9,W,M,NH,NS,Single,48,Not,63,service
11.35,12,W,M,NH,NS,Married,17,Union,35,other
5.5,12,W,F,NH,NS,Married,33,Not,51,clerical
9.15,12,W,M,NH,NS,Married,7,Not,25,other
7.96,14,W,F,NH,NS,Married,12,Not,32,service
5.65,16,W,F,NH,NS,Married,6,Not,28,sales
6,4,W,M,NH,NS,Married,54,Not,64,service
13.45,16,NW,M,NH,S,Single,16,Not,38,prof
3.65,11,W,F,NH,S,Married,8,Not,25,service
6.25,9,W,M,NH,S,Single,30,Union,45,other
5.15,13,W,M,NH,S,Single,1,Union,20,service
26.29,17,W,M,NH,S,Married,32,Not,55,manag
2.01,13,W,M,NH,S,Single,0,Not,19,service
5,12,W,F,NH,S,Single,26,Not,44,clerical
8.75,11,W,F,NH,NS,Single,36,Not,53,service
12.5,14,W,F,NH,NS,Married,19,Not,39,service
4,12,W,M,NH,NS,Single,12,Not,30,service
4.5,16,W,M,NH,NS,Married,21,Not,43,service
6.5,12,W,F,NH,NS,Single,11,Not,29,prof
5.5,12,W,M,NH,NS,Married,10,Not,28,service
6.88,17,W,F,NH,NS,Married,15,Not,38,manag
6.15,16,W,F,NH,NS,Single,16,Not,38,prof
7.78,12,W,M,NH,NS,Married,23,Not,41,manuf
1,12,W,M,NH,NS,Married,24,Not,42,manag
12.5,17,W,F,NH,NS,Married,13,Union,36,prof
8.85,14,NW,F,NH,NS,Married,19,Union,39,clerical
4.35,11,W,F,NH,NS,Married,20,Not,37,service
11.36,18,W,M,NH,NS,Single,5,Not,29,prof
8.93,8,W,M,Hisp,NS,Married,47,Union,61,service
3.5,11,W,F,NH,NS,Married,33,Not,50,sales
26,14,W,M,NH,NS,Married,21,Union,41,other
8,12,W,F,NH,NS,Married,19,Not,37,manuf
16,14,W,M,NH,NS,Married,20,Union,40,other
5.35,12,W,F,NH,NS,Married,13,Not,31,service
23.25,17,NW,F,NH,NS,Married,25,Union,48,prof
8.63,12,NW,F,NH,NS,Married,18,Not,36,clerical
18.5,14,W,F,NH,NS,Single,13,Not,33,manuf
22.2,18,W,M,NH,NS,Married,8,Not,32,prof
16.26,12,NW,M,NH,NS,Single,14,Union,32,service
19.47,12,W,M,NH,NS,Single,9,Not,27,other
